Basic net income per share:,
Numerator,
Allocation of undistributed earnings,"$ 34,200 $ 5,174 $ 36,659"
Denominator,
Number of shares used in per share computation,"6,006 909 6,438"
Basic net income per share,$ 5.69 $ 5.69 $ 5.69
Diluted net income per share:,
Numerator,
Allocation of undistributed earnings for basic computation,"$ 34,200 $ 5,174 $ 36,659"
"Reallocation of undistributed earnings as a result of conversion of Class B to Class A
shares","5,174 0 0"
Reallocation of undistributed earnings,(581) (77) 581
Allocation of undistributed earnings,"$ 38,793 $ 5,097 $ 37,240"
Denominator,
Number of shares used in basic computation,"6,006 909 6,438"
Weighted-average effect of dilutive securities,
Add:,
Conversion of Class B to Class A shares outstanding,909 0 0
Restricted stock units and other contingently issuable shares,0 0 200
Number of shares used in per share computation,"6,915 909 6,638"
Diluted net income per share,$ 5.61 $ 5.61 $ 5.61
